feature,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
0,-0.013969912891143386,0.18957671806813187,0.013219747161906785,0.05051561989271154
1,-0.017463776552054475,0.27042455449845026,0.015470890451836965,0.03876063763433314
2,0.009844126942359279,0.25312662813441983,0.02668672799061075,0.034529340964565364
3,0.0013673266341442305,0.25151544770352496,0.0097897979495907,0.02777938799581542
4,-0.00115155791692326,0.317958885224471,0.051030507178206036,0.02641957739199863
5,-0.006984566910834959,0.35838481769078107,0.014882919867346807,0.02562857288379083
6,-0.002847048916979275,0.17819224149777235,0.006522891340827831,0.025014470453226544
7,-0.0073770462921108095,0.238853924461237,-0.0025662503093447026,0.02387350109379385
8,0.006538980509925525,0.23687637862899855,0.02459985332773803,0.022948142303313643
9,-0.004395014146603756,0.25473194288407736,0.02438851398068227,0.021867967945263994
10,0.0027217674635316167,0.2800610615751392,0.0021591285409776747,0.02150826550786898
11,0.006704722272757215,0.2833174457828145,0.022102915824615817,0.02078380078160457
12,-0.009926840448352434,0.18494098319956423,0.00293759038053108,0.020462617849045614
13,-0.010026120590807755,0.2581374243792548,0.012167894730342424,0.020164919213340463
14,-0.0032636501316159047,0.2481180759163637,-0.0016409189690804753,0.019851683919303968
15,-0.02398578080042262,0.24388991024959086,0.0011700536359916802,0.01948386505416266
16,-0.0030829930720600897,0.2084313638140041,0.00453301614065918,0.01864723536779974
17,0.008415239965756884,0.2630389434206225,0.022115360953049473,0.017569758237506533
18,-0.00076884979832164,0.19846909718979025,0.009750799805011656,0.01709063976100469
19,0.004772140716863025,0.2956693546528277,0.00692457184722971,0.016813272635856247
20,0.010707557986586696,0.36021063708694,0.017672732309686447,0.016363666784955246
21,0.023773809315373446,0.3184817798501144,0.00954723142407344,0.015929916731805504
22,0.003922939631422824,0.17570641459207692,0.013755953551461905,0.01568641092457828
23,0.002745992055470965,0.241983791501802,0.0040253091976779854,0.01554070724956477
24,0.0062982073267094695,0.32423219559784,0.006657913164039445,0.01493802082166735
25,1.527569266564048e-05,0.27155751713242626,0.00447424339542227,0.01473752922253947
26,0.003994413152493674,0.3511398720992643,0.04737121423087155,0.0146307012001506
27,0.015332437031801635,0.23602587372307907,0.004664467663717852,0.014351421124042944
28,0.004786277919097736,0.3305202275158119,0.00962745116382633,0.014083525085681267
29,0.00309040135613777,0.13893717696286045,0.008524070810022134,0.01395239444705494
30,0.020550681185105737,0.3719838391836791,0.009750643845075829,0.01371399566003512
31,0.00020687506867811054,0.25750413170665976,0.007849262595544746,0.013426347101624781
32,0.002175053988840705,0.24760597869789713,0.0071402288299137005,0.013120432738446
33,0.006955692711456385,0.30771149907556,0.00016961408152642006,0.012734940535192474
34,0.0023021294331389947,0.264189369513122,0.00631016803951461,0.012434058646012274
35,0.0021708195098852,0.2604176996035159,0.00439088167279921,0.01211480540028996
36,0.0024878836111691303,0.225466746066883,0.00722288345694228,0.01195829367601265
37,0.014077931460818415,0.40564376223664506,0.05119000415720957,0.01157993321210077
38,0.007222477320369765,0.33451831213106054,0.01978610061152699,0.01123978496030846
39,0.005506126951302135,0.3315552720411737,0.000956919703994615,0.010973678616895525
40,-0.0007374157104309803,0.22811604507133448,0.003242728749726375,0.01073280301690221
41,0.0003845050261331302,0.3124119651789351,0.005394467653565365,0.01055988174151768
42,-0.002946111057928625,0.10271556169137067,0.008584247869882456,0.010359435941463406
43,-0.0010511652217496802,0.31175563832311165,0.006210292973799455,0.01020687578411941
44,0.006386816363368455,0.3776148654179683,0.00575819244825807,0.009799499170464215
45,0.012314041715528901,0.3264171408032521,0.021155040007568744,0.009641796997853381
46,0.00969038344321784,0.3938519706751882,0.01820248531537911,0.009480135591253824
47,-0.005253160691565182,0.25349558228866426,0.004973799767731365,0.00926930323386143
48,0.00911869108697963,0.2916463780404459,0.001232300046803445,0.0091017149034759
49,0.014313692244399587,0.3981158890590335,0.0047348402071175355,0.008919831992842105
50,0.013883288863453157,0.44891183144226227,0.0394169186253631,0.00887873424487775
51,0.015082795568761095,0.3724928995976366,0.00420782067763087,0.008738420677722325
52,0.004981160551894565,0.23594524204631842,0.0012709586848888448,0.00856069090133562
53,0.00108138462391221,0.38984769768070754,0.011510455489280706,0.008454742755889269
54,0.01045184237882689,0.38805287836623314,0.00366847357932354,0.0081913958195303
55,0.004678538028699485,0.426228347420491,0.004383534320728265,0.00814567049953892
56,-0.005938613120775,0.1693341990684353,0.00075223547137217,0.008000850466721905
57,0.010928239569515425,0.44464148827727035,0.0838400563215355,0.00784830232077812
58,0.003750846240281985,0.23768135067093743,0.004539446123663658,0.00759005716976208
59,0.004942635710260055,0.3333156580454467,0.006674889726370369,0.007516328545932121
60,0.00958418208087748,0.4290832770940624,0.00130865817339021,0.007213605966456205
61,0.0172021992162267,0.457791346345528,0.09017048691416463,0.00704237910161061
62,0.005651944166915746,0.32176370371173235,0.004462822962680595,0.006906999823062485
63,0.016986764173814527,0.4439978868445291,0.010847426180956344,0.00670691872088811
64,0.02081470704999359,0.4526459729858442,0.01857559361045032,0.006512903842737921
65,0.01182902608690612,0.3949227625069959,0.0007635264356305302,0.006134051167332984
66,0.011826356699340675,0.39426807845350587,0.0022173374576895002,0.006076399643166965
67,0.014440188862256198,0.44550147614544916,0.004689024891061295,0.00573987991097065
68,0.01441143777905515,0.45007321129367206,0.008353480978284429,0.004446549022664015
