feature,Correlation_1,Mutual Information_1,Permutation Importance_1,Tree-Based Importance_1,weight_1,Correlation_2,Mutual Information_2,Permutation Importance_2,Tree-Based Importance_2,weight_2,Correlation_4,Mutual Information_4,Permutation Importance_4,Tree-Based Importance_4,weight_4,Correlation_8,Mutual Information_8,Permutation Importance_8,Tree-Based Importance_8,weight_8,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
10,-5.834354302533216e-05,0.2235729358890985,-0.0017739615905049,0.0238551901993841,0.1,-0.0022079949896655,0.2206392053772496,-0.0032234396633709,0.0226193867934248,0.15,0.0035569506850346,0.2617297442371553,-0.0001195237331967,0.0210342711529965,0.5,0.0051213028950667,0.3749720602442572,0.0115192100645286,0.0208508115696744,0.25,0.0027217674635316167,0.2800610615751392,0.0021591285409776747,0.02150826550786898
11,0.0224539782687687,0.3028772847142278,0.0054643706138387,0.0238400531883896,0.1,0.0047957456619068,0.3034849869197851,-0.002192144798286,0.0202252669599626,0.15,0.0072048543742087,0.2393242942286129,0.0425315237987921,0.0205362319501609,0.5,0.0005501416379599,0.3513792886364699,0.0024781543343152,0.0203915577747631,0.25,0.006704722272757215,0.2833174457828145,0.022102915824615817,0.02078380078160457
12,-0.0087951491226348,0.2660424527764711,-0.0030730595907602,0.0234174597856808,0.1,-0.0019984135546007,0.2941180487002803,0.002342253150121,0.0195704855974479,0.15,-0.0086997096399616,0.1031274389375109,-0.0007580902390098,0.0203693707052907,0.5,-0.0175908347316722,0.2506212445924785,0.0130904139463754,0.02000245471286,0.25,-0.009926840448352434,0.18494098319956423,0.00293759038053108,0.020462617849045614
13,0.0474021519101109,0.5070093788707961,-0.0041001718273204,0.0233160976458827,0.1,-0.0245025714370093,0.3273355946205201,0.0199533914302451,0.0194451579520613,0.15,-0.0203518671450055,0.2430078615760678,0.0204285084616543,0.020087711931283,0.5,-0.0036600659750588,0.1473288660442531,-0.0025174041291578,0.019490719161206,0.25,-0.010026120590807755,0.2581374243792548,0.012167894730342424,0.020164919213340463
14,-0.0190711557916982,0.3597003045063918,0.0053439968502744,0.0226737174514098,0.1,0.0276832064570601,0.2775901665561537,-0.0337918838788991,0.0194321849438206,0.15,-0.0112867808510176,0.2420298689007225,0.0030732980137499,0.0198302018709101,0.5,0.0005374996180148,0.1979783441277609,0.005427259683408,0.0190175339885394,0.25,-0.0032636501316159047,0.2481180759163637,-0.0016409189690804753,0.019851683919303968
15,-0.0257473362850738,0.282061165485806,0.0055310922758386,0.0206078577321975,0.1,0.0079584604786289,0.2812268350952562,0.0133624420404983,0.0194282479831324,0.15,-0.0449764273801015,0.2276325686239548,-0.0023401448374907,0.0196035209763748,0.5,-0.0004664102146353,0.2387339364989777,-0.0008693979156863,0.0188283263811426,0.25,-0.02398578080042262,0.24388991024959086,0.0011700536359916802,0.01948386505416266
16,0.0130881299035487,0.0874476610230789,0.0043582000473376,0.0190279724837557,0.1,-0.0107008029832424,0.2699445553540354,0.0054429056022673,0.0194150674173313,0.15,0.0001487175774072,0.2009927664286781,0.0050523286985857,0.0188318238174217,0.5,-0.0114441776145288,0.2347941247770073,0.0030183837851699,0.0176650643924545,0.25,-0.0030829930720600897,0.2084313638140041,0.00453301614065918,0.01864723536779974
17,0.0004592414955994,0.0744221388557369,0.0055035264892835,0.0173227941929969,0.1,0.0253871901162778,0.2591597941729286,0.0268404276099858,0.0193252998488233,0.15,0.0077920425199209,0.2410673951454747,0.0206912446612348,0.0173008911956716,0.5,0.0026608641551793,0.3847562513454887,0.0287732873280234,0.0171529529721902,0.25,0.008415239965756884,0.2630389434206225,0.022115360953049473,0.017569758237506533
18,0.0085326051688227,0.0981436402401589,0.00043608676768,0.0163049835918281,0.1,0.0040820859494166,0.057212091460717,-0.0023528046220273,0.0184179663039607,0.15,-0.0035755985514168,0.3166488045688993,0.0207137609546964,0.0170419920997815,0.5,-0.001786495727632,0.0869940686488686,-0.0011870746232018,0.0167058016253481,0.25,-0.00076884979832164,0.19846909718979025,0.009750799805011656,0.01709063976100469
19,0.0057511233315729,0.2741044240504005,0.0031585576268084,0.01553104580313,0.1,0.0037298076765939,0.1563541028953725,0.0101252735450783,0.0183952378791788,0.15,0.0115363259086364,0.3342976829087236,0.0109389632972084,0.0167334635352508,0.5,-0.0085224228884062,0.3106278214364799,-0.0015182263832683,0.0165366024241641,0.25,0.004772140716863025,0.2956693546528277,0.00692457184722971,0.016813272635856247
