datetime,open,high,low,close,volume,symbol
2024-01-02 04:00:00,28.83,29.88,28.14,28.68,9876354.0,AI
2024-01-03 04:00:00,28.68,28.96,27.46,27.79,7256005.0,AI
2024-01-04 04:00:00,27.61,28.2,27.46,28.05,6540315.0,AI
2024-01-05 04:00:00,27.77,28.06,27.2,27.345,6885205.0,AI
2024-01-08 04:00:00,27.72,28.68,27.08,28.54,8142849.0,AI
2024-01-09 04:00:00,28.73,28.75,27.7,28.245,5270256.0,AI
2024-01-10 04:00:00,28.35,29.08,27.67,28.68,8388988.0,AI
2024-01-11 04:00:00,29.0,29.09,26.19,27.19,11075699.0,AI
2024-01-12 04:00:00,27.11,27.62,25.64,26.04,6217971.0,AI
2024-01-16 04:00:00,26.2,27.19,24.83,25.025,7189744.0,AI
2024-01-17 04:00:00,24.54,25.61,23.94,24.31,6997654.0,AI
2024-01-18 04:00:00,24.28,25.2,23.58,24.16,7897658.0,AI
2024-01-19 04:00:00,24.0,25.1,23.73,24.9,7796387.0,AI
2024-01-22 04:00:00,25.2,27.02,25.07,26.47,10021427.0,AI
2024-01-23 04:00:00,26.5,27.0,25.85,26.53,5263183.0,AI
2024-01-24 04:00:00,26.47,27.29,25.31,25.37,7866092.0,AI
2024-01-25 04:00:00,25.48,26.15,25.01,25.22,5503153.0,AI
2024-01-26 04:00:00,25.22,25.8,25.01,25.18,4272559.0,AI
2024-01-29 04:00:00,25.17,26.31,24.92,26.25,4591445.0,AI
2024-01-30 04:00:00,26.29,26.29,25.08,25.255,3869748.0,AI
2024-01-31 04:00:00,25.26,26.085,24.76,24.97,6200979.0,AI
2024-02-01 04:00:00,25.0,25.33,23.8901,25.29,5165065.0,AI
2024-02-02 04:00:00,25.32,25.5,24.31,25.0,5442169.0,AI
2024-02-05 04:00:00,25.06,25.29,23.755,24.46,5088360.0,AI
2024-02-06 04:00:00,24.9,26.225,24.2,25.9,9698057.0,AI
2024-02-07 04:00:00,26.06,26.305,25.16,25.76,7222355.0,AI
2024-02-08 04:00:00,25.87,27.35,25.61,26.85,8381227.0,AI
2024-02-09 04:00:00,27.02,29.63,26.8,28.6,15770923.0,AI
2024-02-12 04:00:00,28.76,31.55,28.57,31.13,16388507.0,AI
2024-02-13 04:00:00,31.16,31.3,28.29,28.93,11971294.0,AI
