,Correlation,Mutual Information,Permutation Importance,Tree-Based Importance
MACD_x_Stoch1,0.015024203369743512,0.25134704605741476,0.000659031629553164,0.03165210193228826
low_mom10,-0.04735512471823653,0.2818033082626945,0.00328685985389745,0.03139815203653937
open_mom20,0.008640146893718947,0.2807860525712682,0.06950235789957651,0.030225296968286495
low_mom20,-0.022546329450496685,0.2804034419121102,0.0007304278628199156,0.03007119747606547
close_mom5,0.004054467585081358,0.26054500137061964,-0.02283182499940095,0.029547401101704764
low_roll_std,0.000454615290916932,0.453748624606539,0.0021486967599118945,0.02820477959696589
open_mom5,0.0019248954736682997,0.2646240609492647,0.027123755992563447,0.027389902601165438
low_mom5,-0.060044530223625533,0.25941347542453386,2.1749843863916317e-05,0.027302401300423718
volume_mom5,0.005582690492006552,0.13488417787968654,0.0035254010403620974,0.02449304602100778
high_mom5,0.005039354358431005,0.24436715856896063,0.014947594437676726,0.023798351297584185
volume_roll_std,-0.0022079949896655114,0.22063920537724968,-0.0032234396633709305,0.022619386793424883
MACD_signal.1,0.004795745661906871,0.3034849869197851,-0.002192144798286044,0.02022526695996265
open_mom10,-0.001998413554600714,0.29411804870028035,0.002342253150121021,0.01957048559744796
MACD_hist_x_MACD_signal,-0.024502571437009374,0.3273355946205201,0.01995339143024517,0.019445157952061323
MACD_x_Stoch14.1,0.027683206457060117,0.27759016655615376,-0.03379188387889918,0.019432184943820686
close_mom10,0.007958460478628939,0.28122683509525626,0.013362442040498367,0.019428247983132432
high_mom10,-0.01070080298324249,0.2699445553540354,0.005442905602267389,0.019415067417331316
MACD_hist_x_Stoch14,0.02538719011627787,0.25915979417292867,0.02684042760998584,0.01932529984882336
volume_mom20,0.004082085949416611,0.05721209146071704,-0.002352804622027316,0.018417966303960732
volume,0.0037298076765939396,0.15635410289537255,0.010125273545078351,0.018395237879178898
MACD_signal,0.004795745661906871,0.3034849869197851,0.011106240640667875,0.017212550191431107
volume_mom10,0.01007298158815534,0.06380004001038753,0.003935975260285107,0.016981230327713075
EMA12,0.028504808378581457,0.5009480671801345,0.08955376749473525,0.016092833800492735
high_mom20,-0.007498945561109936,0.2536956250431519,0.013163108049308892,0.015707007217671643
open_roll_std,0.03867940179856316,0.4598893474689971,-0.002532562984746756,0.015550398594557974
close_EMA,0.028494351968257867,0.4956206815279254,0.018406245257466324,0.014963138370215708
low,0.02484605914361691,0.4722859432174742,-0.006996402006744717,0.014858823376468837
MACD_x_Stoch14,0.027683206457060117,0.2775898791666336,-0.031990266275816005,0.014830229790976146
close_mom20,0.023173056530427057,0.2755980793313926,0.0043394748223526845,0.014606981042308405
close,0.028847661555846883,0.5048301776489499,0.03943412967786275,0.01416981122752807
volume_roll_mean,-0.00018728517690206698,0.2835696102769001,-0.003840114468430933,0.013843492153811985
close_roll_std,0.03698001405568128,0.47280321596078334,-0.0019891632226541,0.01356699684933549
Stoch1.1,0.004299153029283587,0.037908558222836675,-0.0022940779436186887,0.013385871872213673
MACD.1,0.006788970050418713,0.329419926413558,0.0037257324056818586,0.013154938801608274
ATR_x_Stoch1,0.017659266090612736,0.3515625659638646,0.0031190201073868274,0.013081934263139618
volume_EMA,-0.000520471547593035,0.2943536707186256,-0.0029240440327646276,0.01301850961099729
ATR14_x_Stoch1,0.01599985693926646,0.35684606100270067,-0.000442446973659405,0.012943863412008172
MACD_hist,0.007766098255277813,0.3018817299085237,0.014378037629159169,0.012152685482204141
high,0.02838640497177265,0.49494420713507825,0.028767689916980733,0.011999975377002774
ATR_x_Stoch14,0.00979820106946691,0.40659435151444967,-0.0008204852129689577,0.011746663618949582
MACD,0.006788970050418713,0.329419926413558,-0.0032679260023377845,0.011742200839306978
Stoch1,0.004299153029283587,0.0384537887422951,-0.0017473435483263745,0.0114773630500442
MACD_div_ATR,-0.002100040613786505,0.039631242603832106,0.005623324891367298,0.011267043030512276
Stoch14_div_ATR14,-0.018069050733505242,0.3905119190458448,0.0008460459642859019,0.011134624998010927
ATR14_x_MACD_signal,-0.0019397393948323868,0.3841397485203566,0.014853295140734035,0.011075899203236398
MACD_hist.1,0.007766098255277813,0.3018817299085237,0.00036105411472830973,0.010501852595102017
low_EMA,0.028538889584940157,0.489302095888668,0.002646466925711244,0.010201887835277696
high_roll_std,-6.284493614274267e-05,0.41645127829249207,-0.0009355553340517408,0.009926743390371503
ATR14_x_MACD_hist,0.023237945460381056,0.36250812536349875,0.0010302249458401746,0.009842371188653031
low_roll_mean,0.028444657188915888,0.47661328865800545,0.01643942983484299,0.009223705848179112
open,0.028442395118242158,0.5005211222204053,0.003427626926606053,0.009107331112059344
Stoch14.1,-0.003608962516152017,0.03875575147469856,0.001825999598982908,0.00842433603219222
high_EMA,0.028481661724389252,0.496587578018727,0.00325786131781447,0.00766915970203206
ATR,0.005730979934917548,0.4944993172183878,0.0024872288511455175,0.007372778360226484
high_roll_mean,0.02805410909826994,0.49408665757603565,-0.0028766692052573763,0.007080573022232285
open_roll_mean,0.028158539789238542,0.4912162198830261,0.0016944754912023407,0.007065855602133483
Stoch14,-0.003608962516152017,0.038809926992964705,-0.0029848555817065135,0.007042024970041544
