,Correlation,Mutual Information,Permutation Importance,Tree-Based Importance
volume,-0.0028080247346916345,0.1100453087372717,-0.005777086647598328,0.05062457152195209
close_mom5,-0.004043735753545478,0.2701951865204961,0.02578714352720397,0.0402932427487189
low_mom5,0.01484246964294454,0.2414181110846494,0.037148738225881515,0.03484523916858953
MACD_hist_x_Stoch14,-0.0015195107073757218,0.23075175756732236,0.010852088785568804,0.024325562409528333
high_roll_std,-0.001302376647413894,0.37484951720354953,0.05525354679998333,0.02395735033416832
low_roll_std,-0.0035277439680693025,0.3875151553565823,0.01352722620643323,0.023558783082745442
volume_mom10,-0.008766196343542492,0.1684661613028684,-0.001879447831972736,0.023531512361156425
MACD_hist_x_MACD_signal,0.01256991179309054,0.2802567991936833,-0.006667882462897357,0.022364631859350278
open_mom5,0.03444678903227816,0.2373005288852248,0.005150626991172347,0.022006966155145948
close_mom20,-0.0142640942666317,0.24977744500934485,0.031925847901215665,0.021055017801299
high_mom5,0.0035569506850346047,0.26172974423715534,-0.00011952373319672472,0.021034271152996564
open_mom10,0.007204854374208729,0.2393242942286129,0.042531523798792124,0.020536231950160914
volume_mom5,-0.00869970963996166,0.10312743893751097,-0.0007580902390098343,0.02036937070529075
close_mom10,-0.020351867145005583,0.2430078615760678,0.020428508461654383,0.020087711931283024
low_mom20,-0.011286780851017683,0.24202986890072253,0.003073298013749959,0.019830201870910138
low_mom10,-0.04497642738010155,0.22763256862395487,-0.0023401448374907874,0.019603520976374866
volume_EMA,0.00014871757740728052,0.20099276642867814,0.00505232869858574,0.018831823817421767
open_mom20,0.007792042519920935,0.2410673951454747,0.02069124466123482,0.017300891195671672
ATR_x_Stoch14,-0.0035755985514168654,0.3166488045688993,0.02071376095469648,0.017041992099781512
ATR14_x_MACD_signal,0.011536325908636466,0.33429768290872364,0.010938963297208426,0.01673346353525082
low_EMA,0.019164803224437695,0.4286921432218822,0.03232381738887939,0.01642110677727815
close_roll_std,0.03215640311304942,0.3846987874633525,0.01401115207983068,0.015825852179384835
volume_mom20,0.004968683381485311,0.02723220886013511,-0.0026924476496278825,0.015691879982640135
high_mom10,0.0012800848475889633,0.20896777426532687,0.0009621219078526311,0.015675369706147982
high_mom20,-0.005175018399051409,0.23459478859964733,0.001125669617321301,0.015158791809053596
volume_roll_std,-0.0012439083752652715,0.2155630936471704,-0.002389104876357928,0.015011400429850908
ATR14_x_MACD_hist,-0.007221949847524501,0.3242933523778859,0.08576348839677414,0.014957775080049411
MACD_x_Stoch14,0.01994820845867446,0.22788307326960222,0.016315130921389122,0.01472647741683451
Stoch14_div_ATR14,-0.011976344378782106,0.32476135060304934,0.014087250846690779,0.014283562412992789
MACD_div_ATR,-0.0033178940734639333,0.03052473289241675,0.0005243779840643281,0.014212012545657984
open_roll_std,0.030557806091181566,0.3880472281615468,0.013289157632208014,0.013886612388489619
volume_roll_mean,-0.0007502762860868218,0.20704067516007907,-0.0026882326405580858,0.013674307205825747
MACD_x_Stoch14.1,0.01994820845867446,0.22783172036296584,0.008616155408143821,0.013317100803195427
ATR14.1,0.006173463597362663,0.40362952415506737,0.0004505465554727417,0.01310590900913639
MACD_x_Stoch1,0.00351632507958613,0.19233727000724787,0.00430037592278536,0.012716693572966887
MACD,0.0037569940631555824,0.2631456567133075,0.0028386566031712414,0.012306081893234426
Stoch1.1,-0.007989767538089042,0.0551636907990698,-0.0008328692030928675,0.012124320402480387
low,0.017406401976886667,0.4092942731002305,0.0009672498318153532,0.011947423205815481
ATR14_x_Stoch1,-0.000832606781866072,0.27734573285510056,0.016364714710127414,0.01136868333402867
close_EMA,0.019188931721121454,0.43806673376679495,0.0032366581063137277,0.011218346229389912
MACD_hist.1,-0.006892436100124809,0.24367704517323663,0.0057575574317256795,0.010823895659104361
ATR_x_MACD_hist,-0.0046654234738629265,0.3294439226170729,0.007775738287811551,0.010730916652692737
Stoch14,-0.0029275402902328184,0.009607133703712023,0.0043200847846939896,0.01042805252816425
ATR_x_Stoch1,-0.0007033553676014434,0.27812520526185835,0.002682460827173849,0.010189286923734246
ATR.1,0.0036503656360836858,0.4281016289410573,-0.003592302586223095,0.009538685204033613
EMA12,0.019180472973853203,0.4307377954812761,0.036816865654440464,0.009457737298677918
ATR14_x_MACD,0.008975128966459849,0.33429741464702634,0.007025017613603035,0.00944059041202263
MACD_hist,-0.006892436100124809,0.24367704517323663,0.002338581242786386,0.00926287026415252
open_roll_mean,0.019284299759419334,0.43083970401695737,0.0012241403309492193,0.00917713084719341
ATR14_x_MACD.1,0.008975128966459849,0.3342939982107671,0.0022829645581718292,0.009142689226339897
ATR14,0.006173463597362663,0.4036112300925776,-0.00026734305423918857,0.009135197235581104
open,0.01966978343446484,0.4236247305933869,0.007193898815830946,0.009119825949037588
MACD_signal,0.006099574356281032,0.2419623945931253,0.0008766539970173071,0.009028789130816834
ATR_x_MACD_diff,-0.0046654234738629265,0.3294431480247235,-0.0006556567682032943,0.008971642718334328
ATR_x_MACD,0.008889022893715123,0.33862551065745095,0.0036909595495704605,0.0086507423446639
ATR,0.0036503656360836858,0.4281076813455309,0.006169363163526231,0.008616586165749042
Stoch1,-0.007989767538089042,0.05473590335137146,0.00010174245391074699,0.00851138023553234
close,0.018668181790229277,0.4291215480888919,0.16383713759628254,0.00844099857695929
Stoch14.1,-0.0029275402902328184,0.009620174715804453,0.003976593898190317,0.00819881879310496
MACD.1,0.0037569940631555824,0.2631456567133075,0.008467726550281806,0.008148742917788616
close_roll_mean,0.019292324421431917,0.4294661840440117,0.0038360543772242963,0.007633015856466355
high_roll_mean,0.019238248359528858,0.4335635931033286,0.016900674217743706,0.007622837842202069
MACD_signal.1,0.006099574356281032,0.2419623945931253,0.001233607017308036,0.00755520142416034
open_EMA,0.019187347976767983,0.4363585709119935,0.00038526717238962505,0.007216374595667262
high,0.019704197756951092,0.4235999248970028,0.004300712890112135,0.006917466244870497
ATR_x_MACD.1,0.008889022893715123,0.33862283011862004,-0.0014367428619420197,0.006307082537772425
low_roll_mean,0.019441284492014797,0.4195494809925897,0.0020834786884781353,0.0062562534792593785
high_EMA,0.0192839413611564,0.43783267137478,0.000667299391449272,0.00599125980695322
EMA26,0.019182108979781266,0.4432433667988711,0.010962236124249935,0.003923866066715327
