,Correlation,Mutual Information,Permutation Importance,Tree-Based Importance
ATR14_x_MACD.1,-0.020936073549620297,0.4124405823507762,-0.001421108680361005,0.013775387283193987
MACD_hist.1,0.011424418522516754,0.30402225264061844,0.007095264304591553,0.013698977632814429
close_roll_std,0.05855260736486899,0.5066990750799887,-0.000754841311350285,0.013622827949056317
high_mom20,0.009416803117095751,0.3231338849816079,0.004851908160249008,0.013583856038026358
open_roll_std,0.062072972233474646,0.516856138361458,0.006700051036335952,0.013552776461856814
Stoch1.1,0.0024178075016105284,0.040054614924907916,-0.0010235760933172688,0.013539373421983476
ATR_x_Stoch1,0.009512799449996494,0.3804974010045097,-0.006894134216186632,0.013459242246837625
high_mom10,-0.001856241294385758,0.24032683455075432,0.007075440807582134,0.013005975356725727
ATR14_x_MACD,-0.020936073549620297,0.41244070612858463,-0.0013139879700901024,0.012916216076718667
close,0.03541760312048432,0.5413535019945668,0.002599686796934564,0.012857046340063714
high_roll_std,-0.0006273417264971093,0.4858336129077654,0.025127828870867442,0.01275710581287061
volume,0.005318122987072027,0.23791497698972375,0.00528405085439807,0.012279522591703803
MACD_hist,0.011424418522516754,0.30402225264061844,0.0047792194714694645,0.012069651413112146
ATR14_x_MACD_hist,0.010579067485060234,0.3844627257437363,0.0044618941110718515,0.011097664782965897
Stoch1,0.0024178075016105284,0.03971497093344478,0.0014894074425766846,0.011062838773085821
volume_EMA,0.0017139112068000957,0.35006818053597577,-0.003684274236272511,0.010817170546729557
open,0.034470643126306995,0.5206579883779527,0.004524222212760854,0.010475536827678508
MACD,-0.0021793615041192324,0.3801714873353568,0.0015109100283236866,0.010180345563640586
ATR14_x_MACD_signal,-0.024748314308352008,0.3742347317112582,-0.0013452050755625722,0.010167407283460586
EMA26,0.03588615008522706,0.5210615900959175,0.013516304756515728,0.010064384590088057
close_roll_mean,0.03545097844460557,0.5138269007420737,0.022843019756095796,0.009936153977048265
Stoch14,0.01720309578571437,0.048656555806753765,-0.00311369588481305,0.009922655742338894
Stoch14_div_ATR14,-0.022290353552660506,0.38419466378568146,0.0007374058119043126,0.009091208400047604
MACD_div_ATR,-0.0021977096463547327,0.07179279132458127,-0.003355843943875847,0.00908067517166181
Stoch14.1,0.01720309578571437,0.048685525928652496,-0.004036162348234762,0.008738560892272549
EMA12,0.03542278465191545,0.5287274351303095,0.0053961978177105244,0.008576155167882939
high,0.036371804755879956,0.5432096845614502,0.001723093410344223,0.008493024586118333
high_EMA,0.03498968269867528,0.5095635443790556,-0.006647071266824911,0.008397219506953267
MACD_signal.1,-0.0058426840434224634,0.355720457658963,0.0018274910885161199,0.008276198243010718
MACD_signal,-0.0058426840434224634,0.355720457658963,0.0072157168462273266,0.00825309275152169
MACD.1,-0.0021793615041192324,0.3801714873353568,0.0010113755681676606,0.007666293614291218
high_roll_mean,0.035102230923447164,0.5159409843851357,-0.0071523035538183285,0.007441246476618667
low_roll_mean,0.034782638757651085,0.49246809291838556,-0.001070884961281826,0.007014011466535348
ATR_x_MACD,-0.02201745518411283,0.4108914159986381,0.003983201601513375,0.006710279255676592
ATR_x_MACD.1,-0.02201745518411283,0.41089246064254015,4.730922797338e-05,0.006416778897622545
ATR_x_MACD_hist,0.005969381349089347,0.3689158674863515,0.002498398376874644,0.006414075943620614
ATR14.1,0.010933806703508539,0.5318865652546205,-0.005602779082727838,0.006326735526041323
open_roll_mean,0.03553777710781759,0.5151196702817193,0.0032885977279758505,0.0058657341336871924
ATR14,0.010933806703508539,0.5318046073741196,0.0053304289487815515,0.00564330858720999
close_EMA,0.03568373731513128,0.5225744441532649,0.009886155047121448,0.005552727908820332
low_EMA,0.03559283187272914,0.5022603166185711,0.002061831943351122,0.005343139310498278
open_EMA,0.03557917471835043,0.5206825429214357,0.0017186582830177155,0.005044984983211923
ATR_x_MACD_diff,0.005969381349089347,0.3689158674863515,0.0022317426504264715,0.005015438416659309
ATR,0.012691854529356297,0.5305475351557685,0.0018615157222783285,0.004851279467511967
ATR.1,0.012691854529356297,0.5305584800074601,-0.0016290226590879974,0.00479292735336193
