variable,resolution,count,mean,std,variance,min,25%,50% (median),75%,max,skewness,kurtosis
low_EMA,2,7606.0,183.9627554860965,239.04820934887834,57144.04639290517,1.185719954133503,22.093012681494745,81.03488186374382,201.64873788575358,920.616569979992,1.6073656254536186,1.3906917469678834
open_roll_mean,2,7606.0,189.82554031488297,244.92108580319058,59986.33827101385,1.22662,22.45584,87.110815,206.87246125,948.41268,1.6016735945587013,1.4000184046986694
ATR_x_Stoch14,2,7606.0,617.8217351583488,1047.3246942259632,1096889.015135507,0.0,26.111801188305265,173.26421539202585,779.0641097734883,9882.83776808624,3.2636000251094077,13.79766920618653
open_mom20,2,7606.0,3.453133657638706,19.820861602806275,392.8665546776001,-164.4058,-0.8600000000000102,0.4599999999999999,5.720225000000006,181.63330000000008,1.036812851709945,15.186189367173146
target,2,7606.0,0.008792637391532986,14.17391834613453,200.899961282889,-836.3049,-0.375,0.016999999999999016,0.584699999999998,564.4668,-21.787190732889066,2010.0505636934913
close,4,15418.0,191.9529019003762,246.11372193294045,60571.96412368473,1.12,22.8904,88.30924999999999,207.874525,961.4937,1.5911463165865922,1.3669037516150606
EMA26,4,15418.0,190.89511838606003,244.8919575579348,59972.070876557336,1.2123213168854186,22.778078223972784,88.18846271884004,207.8111585981315,946.809599488377,1.5933700574573226,1.3749177268520745
close_EMA,4,15418.0,191.1547191436437,245.19544111191425,60120.80434206621,1.2085844736891838,22.800064872295682,88.20128907122191,207.82356537306347,948.674641682071,1.5928623695369244,1.373087960707882
ATR14_x_MACD_hist,4,15418.0,-0.5968608552228974,36.00782434068023,1296.5634137492839,-707.8932559976151,-0.3091934871915242,-0.00027920410527345,0.20356574724241938,749.7437974445972,-0.7352747832377686,123.50458196014996
high_roll_std,4,15418.0,8.595038546060083,34.62544398949993,1198.9213714699965,0.0183002983869596,0.3653304647086183,1.5904924919423373,5.652482921256507,501.7603073408122,8.970179410908184,91.7419827677913
close_mom5,4,15418.0,0.4022656440524063,6.786894461484334,46.06193643132672,-80.70580000000007,-0.5797749999999837,0.03959999999999645,1.0921750000000108,89.70839999999998,0.523141876312475,25.383446101925408
