,resolution,count,mean,std,variance,min,25%,50% (median),75%,max,skewness,kurtosis
close,1,3711.0,189.71764667205605,247.72930457051032,61369.80834298866,1.12,21.855150000000002,84.9131,205.21965,956.6308,1.6131454917954402,1.4250039989855612
EMA26,1,3711.0,185.61349471809604,242.91021673640728,59005.37339492836,1.2270430196322508,21.854649076976795,81.91379774724996,204.10789145832456,913.6299464878103,1.6195736774844056,1.4439690586811587
close_EMA,1,3711.0,186.57373752954234,244.06865787241887,59569.50975564385,1.2218303706815452,21.86727979442832,83.03276915942786,204.5419065501648,921.8027312776536,1.6180726463119395,1.4378325414346262
ATR14_x_MACD_hist,1,3711.0,-0.8224242763939812,168.29123763161775,28321.94066358163,-1660.1953712604868,-0.751366293527171,0.0011885930698062,1.8376861605549677,1400.6364661239463,-0.8399440169988833,35.03885723339377
high_roll_std,1,3711.0,18.196347977647076,59.92839297623039,3591.4122847135004,0.0358510148135066,0.7049350763407378,3.351099904944854,10.608221615230349,539.607813657602,6.156692366018371,40.82541431732109
close_mom5,1,3711.0,1.6269273780652118,13.367742382518212,178.69653640537368,-106.6146,-0.8601499999999982,0.1606000000000023,3.059899999999999,165.366,0.8843980985248264,22.04161648367859
close_mom20,1,3711.0,6.8549201023982755,27.886900539711405,777.6792217117563,-178.05650000000003,-0.5564499999999999,1.0123999999999995,10.358049999999995,169.6023,1.0460523528272347,10.834537168435663
close_mom10,1,3711.0,3.331662759364053,19.59442044115486,383.94131242474737,-152.49439999999993,-0.8165499999999994,0.4003000000000005,5.204099999999997,186.4003,0.9420610005233548,15.77968565023701
low_mom5,1,3711.0,1.5544502290487738,35.119596630378,1233.3860674804575,-883.8494000000001,-1.356399999999999,0.1199999999999998,3.269350000000024,739.4701,-1.1673841093186808,178.77087913379535
low_roll_std,1,3711.0,12.194754164771272,21.47618037880202,461.22632366284085,0.0229275397491207,0.7009313771898584,3.534682024331404,15.522857994424992,189.7214856975609,4.092333089242106,23.467103623363613
EMA12,1,3711.0,187.90434090716482,245.64446252815935,60341.20197074828,1.2127926014822463,21.89151379316891,83.83747526914023,205.8242148920991,936.912418931122,1.6159399731352535,1.430801452433756
open_mom10,1,3711.0,3.3912233360280246,19.824527696235336,393.01189837880185,-146.9964,-0.8399999999999999,0.4190999999999967,5.393400000000003,181.63330000000008,1.020478601703162,15.692427397460992
low_EMA,1,3711.0,177.03430337708463,234.74053156372952,55103.11715882229,1.1847833678763966,21.17915695409556,70.83983645918028,193.1737504199537,898.8917268445174,1.6284993017829694,1.4309144798572717
open_roll_mean,1,3711.0,186.3762881393155,243.99761932465978,59534.83823610158,1.23987,21.8755425,82.69494499999999,205.1002075,933.468875,1.623075517904845,1.4637253914211392
ATR_x_Stoch14,1,3711.0,961.5274369826205,1579.9999451564706,2496399.8266944503,0.0,38.36401785226295,265.5248222478597,1247.8689430430777,11016.170845314557,2.9032071013145724,9.969636463091053
open_mom20,1,3711.0,6.8995600916195094,28.22352772845666,796.5675174389619,-174.2364,-0.5663499999999964,1.0799999999999983,10.3489,199.1277,1.0332525129774084,10.939493673802103
target,1,3711.0,0.017658313123147407,20.11238339757948,404.5079659312308,-830.2046,-0.5190999999999892,0.020000000000000018,0.9211500000000044,577.8158,-14.490534238787792,999.6033456185017
