,resolution,count,mean,std,variance,min,25%,50% (median),75%,max,skewness,kurtosis
close,8,30901.0,192.35439983819293,245.82861097618667,60431.70597448133,1.12,23.0649,88.763,208.15,967.4069,1.587850910723981,1.3591722803481154
EMA26,8,30901.0,191.83329020777558,245.23091293234035,60138.20065762909,1.200815507656949,23.05439314067379,88.72615037111557,208.129488062103,950.1389028192272,1.588980005502299,1.3633586131380735
close_EMA,8,30901.0,191.96123051338617,245.3789598905325,60210.83395695956,1.1982987408770145,23.09582236729462,88.75385084004019,208.10413462364207,950.953402367678,1.5886976425679917,1.3622759036254397
ATR14_x_MACD_hist,8,30901.0,-0.16201726931736884,16.592208184535053,275.30137243895206,-490.5065284348362,-0.1085469649528485,-3.275060437947541e-05,0.0940617933985432,323.75219088227647,-1.0505811897975503,168.21952722277067
high_roll_std,8,30901.0,5.727357359721064,25.952319445229097,673.5228845872164,0.0129573429699834,0.2459362414164951,1.0741142878843744,3.8917226718243993,438.18865441203593,10.625856250756803,127.51083188162318
close_mom5,8,30901.0,0.2007677162551374,4.89091169665205,23.92101722444783,-116.60760000000003,-0.4123999999999981,0.0250000000000003,0.7039000000000044,92.2957,0.06069129149067678,56.46520125392381
close_mom20,8,30901.0,0.8296760169573801,9.76128854628912,95.28275408391514,-110.3369,-0.7299000000000007,0.0999999999999996,1.805,130.3583000000001,0.5579083327717241,24.87021955465537
close_mom10,8,30901.0,0.4062593637746351,6.884314734960153,47.393789369989484,-110.8279,-0.5755000000000052,0.04,1.1000999999999976,128.86559999999997,0.49588297803526893,30.695850818923745
low_mom5,8,30901.0,0.19221172777580017,15.445138593328354,238.55230616712095,-801.654,-0.4906000000000006,0.0242000000000004,0.7982000000000085,807.7739,0.013656650650358149,600.7281046097299
low_roll_std,8,30901.0,4.671379742995881,9.828065266725787,96.59086688702182,0.0121336190202286,0.2561773692249546,1.276833120159857,4.861161483527381,179.63080890776675,6.688237824386351,79.51890421882251
EMA12,8,30901.0,192.12979071552255,245.57216153156193,60305.68651928354,1.1939959596528942,23.09727148953136,88.73553953720183,208.10720034648415,952.9975544154818,1.5883067831431767,1.360772474602748
open_mom10,8,30901.0,0.4075770557587133,6.9194994294197185,47.87947235373981,-110.7699,-0.5812999999999988,0.0424999999999999,1.1099999999999994,128.89549999999997,0.5556563690931721,32.36120281097468
low_EMA,8,30901.0,189.87533884231644,243.2019721578664,59147.199261475624,1.176551446890337,22.85289484793771,87.46628551125364,206.5203431916881,945.9035924285278,1.5909946355272457,1.3634717270335868
open_roll_mean,8,30901.0,191.9438122709621,245.36882534377173,60205.86045058235,1.201245,23.1195,88.63699,207.92982,951.116095,1.5890980159116217,1.3647964106969956
ATR_x_Stoch14,8,30901.0,220.54302963388042,417.33143062247603,174165.52298540252,0.0,10.84658132530121,57.82542478918626,257.4140474413953,5415.072628466869,4.596912158644108,31.53123940820963
open_mom20,8,30901.0,0.8328705025727323,9.750484991340612,95.07195756635853,-110.86429999999996,-0.7239999999999327,0.1,1.8100000000000025,131.438,0.6016151121601302,24.78721293009199
target,8,30901.0,0.0020422607682599294,7.164878625027577,51.33548571137706,-844.2042,-0.15860000000000696,0.004899999999999238,0.21999999999999886,544.4927,-44.65662755275869,7687.207513545926
